series,episode,baker,challenge,cake
2,4,Jason,signature,NA
2,4,Ian,signature,NA
2,4,Keith,signature,NA
2,4,Simon,signature,NA
2,4,Urvashi,signature,NA
2,5,Holly,signature,pie_tart
2,5,Joanne,signature,pie_tart
2,5,Mary-Anne,signature,pie_tart
2,5,Yasmin,signature,pie_tart
2,5,Jason,signature,pie_tart
2,5,Robert,signature,pie_tart
2,5,Janet,signature,pie_tart
2,5,Ben,signature,NA
2,5,Ian,signature,NA
2,5,Keith,signature,NA
2,5,Simon,signature,NA
2,5,Urvashi,signature,NA
2,6,Holly,signature,cake
2,6,Janet,signature,cake
2,6,Mary-Anne,signature,cake
2,6,Yasmin,signature,cake
2,6,Joanne,signature,cake
2,6,Ben,signature,NA
2,6,Ian,signature,NA
2,6,Jason,signature,NA
2,6,Keith,signature,NA
2,6,Robert,signature,NA
2,6,Simon,signature,NA
2,6,Urvashi,signature,NA
2,7,Holly,signature,cake
2,7,Joanne,signature,cake
2,7,Mary-Anne,signature,cake
2,7,Janet,signature,cake
2,7,Ben,signature,NA
2,7,Ian,signature,NA
2,7,Jason,signature,NA
2,7,Keith,signature,NA
2,7,Robert,signature,NA
2,7,Simon,signature,NA
2,7,Urvashi,signature,NA
2,7,Yasmin,signature,NA
2,8,Holly,signature,NA
2,8,Mary-Anne,signature,NA
2,8,Joanne,signature,NA
2,8,Ben,signature,NA
2,8,Ian,signature,NA
2,8,Janet,signature,NA
2,8,Jason,signature,NA
2,8,Keith,signature,NA
2,8,Robert,signature,NA
2,8,Simon,signature,NA
2,8,Urvashi,signature,NA
2,8,Yasmin,signature,NA
3,1,Brendan,signature,cake
3,1,Cathryn,signature,cake
3,1,Danny,signature,cake
3,1,James,signature,cake
3,1,John,signature,cake
3,1,Manisha,signature,cake
3,1,Peter,signature,cake
3,1,Ryan,signature,cake
3,1,Sarah-Jane,signature,cake
3,1,Stuart,signature,cake
3,1,Natasha,signature,cake
3,1,Victoria,signature,cake
3,2,Brendan,signature,NA
3,2,Cathryn,signature,NA
3,2,Danny,signature,NA
3,2,James,signature,NA
3,2,Manisha,signature,NA
3,2,Ryan,signature,NA
3,2,Sarah-Jane,signature,cake
3,2,Stuart,signature,NA
3,2,Victoria,signature,NA
3,2,Peter,signature,NA
3,2,John,signature,NA
3,2,Natasha,signature,NA
3,3,Brendan,signature,pie_tart
3,3,Cathryn,signature,pie_tart
3,3,Danny,signature,pie_tart
3,3,John,signature,pie_tart
3,3,Manisha,signature,pie_tart
3,3,Ryan,signature,pie_tart
3,3,Sarah-Jane,signature,pie_tart
3,3,Stuart,signature,pie_tart
3,3,Victoria,signature,pie_tart
3,3,James,signature,pie_tart
3,3,Natasha,signature,NA
3,3,Peter,signature,NA
3,4,Cathryn,signature,cake
3,4,Danny,signature,cake
3,4,James,signature,cake
3,4,John,signature,cake
3,4,Manisha,signature,cake
3,4,Ryan,signature,cake
3,4,Sarah-Jane,signature,cake
3,4,Stuart,signature,cake
3,4,Brendan,signature,cake
3,4,Natasha,signature,NA
3,4,Peter,signature,NA
3,4,Victoria,signature,NA
3,5,Brendan,signature,NA
3,5,Cathryn,signature,NA
3,5,Danny,signature,NA
3,5,James,signature,NA
3,5,John,signature,NA
3,5,Sarah-Jane,signature,NA
3,5,Manisha,signature,NA
3,5,Ryan,signature,NA
3,5,Natasha,signature,NA
3,5,Peter,signature,NA
3,5,Stuart,signature,NA
3,5,Victoria,signature,NA
3,6,Cathryn,signature,cake
3,6,Danny,signature,NA
3,6,James,signature,NA
3,6,John,signature,NA
3,6,Ryan,signature,NA
3,6,Sarah-Jane,signature,NA
3,6,Brendan,signature,NA
3,6,Manisha,signature,NA
3,6,Natasha,signature,NA
3,6,Peter,signature,NA
3,6,Stuart,signature,NA
3,6,Victoria,signature,NA
3,7,Brendan,signature,NA
3,7,Cathryn,signature,NA
3,7,James,signature,NA
3,7,John,signature,NA
3,7,Ryan,signature,cake
3,7,Sarah-Jane,signature,NA
3,7,Danny,signature,NA
3,7,Manisha,signature,NA
3,7,Natasha,signature,NA
3,7,Peter,signature,NA
3,7,Stuart,signature,NA
3,7,Victoria,signature,NA
3,8,Brendan,signature,NA
3,8,Danny,signature,NA
3,8,John,signature,NA
3,8,Cathryn,signature,NA
3,8,James,signature,NA
3,8,Manisha,signature,NA
3,8,Natasha,signature,NA
3,8,Peter,signature,NA
3,8,Ryan,signature,NA
3,8,Sarah-Jane,signature,NA
3,8,Stuart,signature,NA
3,8,Victoria,signature,NA
3,9,Brendan,signature,NA
3,9,John,signature,pie_tart
3,9,Danny,signature,NA
3,9,James,signature,pie_tart
3,9,Cathryn,signature,NA
3,9,Manisha,signature,NA
3,9,Natasha,signature,NA
3,9,Peter,signature,NA
3,9,Ryan,signature,NA
3,9,Sarah-Jane,signature,NA
3,9,Stuart,signature,NA
3,9,Victoria,signature,NA
3,10,Brendan,signature,NA
3,10,James,signature,NA
3,10,John,signature,NA
3,10,Cathryn,signature,NA
3,10,Danny,signature,NA
3,10,Manisha,signature,NA
3,10,Natasha,signature,NA
3,10,Peter,signature,NA
3,10,Ryan,signature,NA
3,10,Sarah-Jane,signature,NA
3,10,Stuart,signature,NA
3,10,Victoria,signature,NA
4,1,Ali,signature,cake
4,1,Beca,signature,cake
4,1,Christine,signature,NA
4,1,Deborah,signature,cake
4,1,Frances,signature,NA
4,1,Glenn,signature,cake
4,1,Howard,signature,cake
4,1,Kimberley,signature,cake
4,1,Lucy,signature,cake
4,1,Mark,signature,cake
4,1,Ruby,signature,cake
4,1,Toby,signature,cake
4,1,Robert,signature,cake
4,2,Ali,signature,NA
4,2,Beca,signature,NA
4,2,Christine,signature,NA
4,2,Deborah,signature,NA
4,2,Frances,signature,NA
4,2,Glenn,signature,NA
4,2,Howard,signature,NA
4,2,Kimberley,signature,NA
4,2,Mark,signature,NA
4,2,Robert,signature,NA
4,2,Lucy,signature,NA
4,2,Ruby,signature,NA
4,2,Toby,signature,NA
4,3,Ali,signature,NA
4,3,Beca,signature,NA
4,3,Frances,signature,NA
4,3,Glenn,signature,NA
4,3,Howard,signature,NA
4,3,Kimberley,signature,NA
4,3,Robert,signature,NA
4,3,Ruby,signature,NA
4,3,Deborah,signature,NA
4,3,Mark,signature,NA
4,3,Christine,signature,NA
4,3,Lucy,signature,NA
4,3,Toby,signature,NA
4,4,Beca,signature,pie_tart
4,4,Christine,signature,pie_tart
4,4,Frances,signature,pie_tart
4,4,Glenn,signature,pie_tart
4,4,Howard,signature,pie_tart
4,4,Robert,signature,pie_tart
4,4,Ruby,signature,pie_tart
4,4,Ali,signature,pie_tart
4,4,Kimberley,signature,pie_tart
4,4,Deborah,signature,NA
4,4,Lucy,signature,NA
4,4,Mark,signature,NA
4,4,Toby,signature,NA
4,5,Beca,signature,NA
4,5,Frances,signature,NA
4,5,Glenn,signature,NA
4,5,Howard,signature,NA
4,5,Kimberley,signature,NA
4,5,Ruby,signature,NA
4,5,Robert,signature,NA
4,5,Christine,signature,NA
4,5,Ali,signature,NA
4,5,Deborah,signature,NA
4,5,Lucy,signature,NA
4,5,Mark,signature,NA
4,5,Toby,signature,NA
4,6,Beca,signature,NA
4,6,Christine,signature,NA
4,6,Frances,signature,NA
4,6,Glenn,signature,NA
4,6,Kimberley,signature,NA
4,6,Howard,signature,NA
4,6,Ruby,signature,NA
4,6,Ali,signature,NA
4,6,Deborah,signature,NA
4,6,Lucy,signature,NA
4,6,Mark,signature,NA
4,6,Robert,signature,NA
4,6,Toby,signature,NA
4,7,Beca,signature,NA
4,7,Christine,signature,NA
4,7,Kimberley,signature,NA
4,7,Ruby,signature,NA
4,7,Glenn,signature,NA
4,7,Frances,signature,NA
4,7,Ali,signature,NA
4,7,Deborah,signature,NA
4,7,Howard,signature,NA
4,7,Lucy,signature,NA
4,7,Mark,signature,NA
4,7,Robert,signature,NA
4,7,Toby,signature,NA
4,8,Beca,signature,NA
4,8,Frances,signature,NA
4,8,Kimberley,signature,NA
4,8,Christine,signature,NA
4,8,Ruby,signature,NA
4,8,Ali,signature,NA
4,8,Deborah,signature,NA
4,8,Glenn,signature,NA
4,8,Howard,signature,NA
4,8,Lucy,signature,NA
4,8,Mark,signature,NA
4,8,Robert,signature,NA
4,8,Toby,signature,NA
4,9,Frances,signature,NA
4,9,Ruby,signature,pie_tart
4,9,Beca,signature,pie_tart
4,9,Kimberley,signature,pie_tart
4,9,Ali,signature,NA
4,9,Christine,signature,NA
4,9,Deborah,signature,NA
4,9,Glenn,signature,NA
4,9,Howard,signature,NA
4,9,Lucy,signature,NA
4,9,Mark,signature,NA
4,9,Robert,signature,NA
4,9,Toby,signature,NA
4,10,Kimberley,signature,pie_tart
4,10,Ruby,signature,pie_tart
4,10,Frances,signature,pie_tart
4,10,Ali,signature,NA
4,10,Beca,signature,NA
4,10,Christine,signature,NA
4,10,Deborah,signature,NA
4,10,Glenn,signature,NA
4,10,Howard,signature,NA
4,10,Lucy,signature,NA
4,10,Mark,signature,NA
4,10,Robert,signature,NA
4,10,Toby,signature,NA
5,1,Chetna,signature,NA
5,1,Diana,signature,NA
5,1,Enwezor,signature,NA
5,1,Iain,signature,NA
5,1,Jordan,signature,NA
5,1,Kate,signature,NA
5,1,Luis,signature,NA
5,1,Martha,signature,NA
5,1,Norman,signature,NA
5,1,Richard,signature,NA
5,1,Claire,signature,NA
5,1,Nancy,signature,NA
5,2,Chetna,signature,NA
5,2,Diana,signature,NA
5,2,Iain,signature,NA
5,2,Jordan,signature,NA
5,2,Kate,signature,NA
5,2,Luis,signature,NA
5,2,Martha,signature,NA
5,2,Nancy,signature,NA
5,2,Norman,signature,NA
5,2,Enwezor,signature,NA
5,2,Richard,signature,NA
5,2,Claire,signature,NA
5,3,Chetna,signature,NA
5,3,Diana,signature,NA
5,3,Iain,signature,NA
5,3,Kate,signature,NA
5,3,Martha,signature,NA
5,3,Nancy,signature,NA
5,3,Norman,signature,NA
5,3,Richard,signature,NA
5,3,Jordan,signature,NA
5,3,Luis,signature,NA
5,3,Claire,signature,NA
5,3,Enwezor,signature,NA
5,4,Chetna,signature,NA
5,4,Diana,signature,NA
5,4,Kate,signature,NA
5,4,Luis,signature,NA
5,4,Martha,signature,NA
5,4,Nancy,signature,NA
5,4,Norman,signature,NA
5,4,Iain,signature,NA
5,4,Richard,signature,NA
5,4,Claire,signature,NA
5,4,Enwezor,signature,NA
5,4,Jordan,signature,NA
5,5,Chetna,signature,pie_tart
5,5,Luis,signature,pie_tart
5,5,Martha,signature,pie_tart
5,5,Nancy,signature,pie_tart
5,5,Richard,signature,pie_tart
5,5,Diana,signature,NA
5,5,Norman,signature,pie_tart
5,5,Kate,signature,pie_tart
5,5,Claire,signature,NA
5,5,Enwezor,signature,NA
5,5,Iain,signature,NA
5,5,Jordan,signature,NA
5,6,Kate,signature,cake
5,6,Luis,signature,NA
5,6,Martha,signature,cake
5,6,Nancy,signature,cake
5,6,Richard,signature,NA
5,6,Chetna,signature,cake
5,6,Claire,signature,NA
5,6,Diana,signature,NA
5,6,Enwezor,signature,NA
5,6,Iain,signature,NA
5,6,Jordan,signature,NA
5,6,Norman,signature,NA
5,7,Chetna,signature,NA
5,7,Luis,signature,NA
5,7,Martha,signature,NA
5,7,Nancy,signature,NA
5,7,Kate,signature,NA
5,7,Richard,signature,NA
5,7,Claire,signature,NA
5,7,Diana,signature,NA
5,7,Enwezor,signature,NA
5,7,Iain,signature,NA
5,7,Jordan,signature,NA
5,7,Norman,signature,NA
5,8,Chetna,signature,NA
5,8,Luis,signature,NA
5,8,Nancy,signature,NA
5,8,Martha,signature,NA
5,8,Richard,signature,NA
5,8,Claire,signature,NA
5,8,Diana,signature,NA
5,8,Enwezor,signature,NA
5,8,Iain,signature,NA
5,8,Jordan,signature,NA
5,8,Kate,signature,NA
5,8,Norman,signature,NA
5,9,Luis,signature,NA
5,9,Nancy,signature,NA
5,9,Chetna,signature,NA
5,9,Richard,signature,NA
5,9,Claire,signature,NA
5,9,Diana,signature,NA
5,9,Enwezor,signature,NA
5,9,Iain,signature,NA
5,9,Jordan,signature,NA
5,9,Kate,signature,NA
5,9,Martha,signature,NA
5,9,Norman,signature,NA
5,10,Luis,signature,NA
5,10,Richard,signature,NA
5,10,Nancy,signature,NA
5,10,Chetna,signature,NA
5,10,Claire,signature,NA
5,10,Diana,signature,NA
5,10,Enwezor,signature,NA
5,10,Iain,signature,NA
5,10,Jordan,signature,NA
5,10,Kate,signature,NA
5,10,Martha,signature,NA
5,10,Norman,signature,NA
6,1,Alvin,signature,cake
6,1,Dorret,signature,cake
6,1,Flora,signature,cake
6,1,Ian,signature,cake
6,1,Mat,signature,cake
6,1,Nadiya,signature,cake
6,1,Paul,signature,cake
6,1,Sandy,signature,cake
6,1,Tamal,signature,cake
6,1,Ugnė,signature,cake
6,1,Stu,signature,cake
6,1,Marie,signature,cake
6,2,Alvin,signature,NA
6,2,Dorret,signature,NA
6,2,Flora,signature,NA
6,2,Mat,signature,NA
6,2,Nadiya,signature,NA
6,2,Paul,signature,NA
6,2,Sandy,signature,NA
6,2,Tamal,signature,NA
6,2,Ugnė,signature,NA
6,2,Marie,signature,NA
6,2,Ian,signature,NA
6,2,Stu,signature,NA
6,3,Alvin,signature,NA
6,3,Flora,signature,NA
6,3,Mat,signature,NA
6,3,Nadiya,signature,NA
6,3,Paul,signature,NA
6,3,Sandy,signature,NA
6,3,Tamal,signature,NA
6,3,Ugnė,signature,NA
6,3,Dorret,signature,NA
6,3,Ian,signature,NA
6,3,Marie,signature,NA
6,3,Stu,signature,NA
6,4,Alvin,signature,NA
6,4,Flora,signature,NA
6,4,Mat,signature,NA
6,4,Nadiya,signature,NA
6,4,Paul,signature,NA
6,4,Tamal,signature,NA
6,4,Ugnė,signature,NA
6,4,Sandy,signature,NA
6,4,Ian,signature,NA
6,4,Dorret,signature,NA
6,4,Marie,signature,NA
6,4,Stu,signature,NA
6,5,Alvin,signature,cake
6,5,Flora,signature,cake
6,5,Ian,signature,cake
6,5,Mat,signature,cake
6,5,Paul,signature,cake
6,5,Tamal,signature,cake
6,5,Ugnė,signature,cake
6,5,Nadiya,signature,cake
6,5,Dorret,signature,NA
6,5,Marie,signature,NA
6,5,Sandy,signature,NA
6,5,Stu,signature,NA
6,6,Flora,signature,pie_tart
6,6,Ian,signature,pie_tart
6,6,Nadiya,signature,pie_tart
6,6,Paul,signature,pie_tart
6,6,Tamal,signature,pie_tart
6,6,Alvin,signature,pie_tart
6,6,Mat,signature,pie_tart
6,6,Dorret,signature,NA
6,6,Marie,signature,NA
6,6,Sandy,signature,NA
6,6,Stu,signature,NA
6,6,Ugnė,signature,NA
6,7,Flora,signature,pie_tart
6,7,Ian,signature,pie_tart
6,7,Nadiya,signature,pie_tart
6,7,Paul,signature,pie_tart
6,7,Mat,signature,pie_tart
6,7,Tamal,signature,pie_tart
6,7,Alvin,signature,NA
6,7,Dorret,signature,NA
6,7,Marie,signature,NA
6,7,Sandy,signature,NA
6,7,Stu,signature,NA
6,7,Ugnė,signature,NA
6,8,Flora,signature,NA
6,8,Ian,signature,NA
6,8,Tamal,signature,NA
6,8,Paul,signature,NA
6,8,Nadiya,signature,NA
6,8,Alvin,signature,NA
6,8,Dorret,signature,NA
6,8,Marie,signature,NA
6,8,Mat,signature,NA
6,8,Sandy,signature,NA
6,8,Stu,signature,NA
6,8,Ugnė,signature,NA
6,9,Ian,signature,pie_tart
6,9,Tamal,signature,pie_tart
6,9,Flora,signature,pie_tart
6,9,Nadiya,signature,pie_tart
6,9,Alvin,signature,NA
6,9,Dorret,signature,NA
6,9,Marie,signature,NA
6,9,Mat,signature,NA
6,9,Paul,signature,NA
6,9,Sandy,signature,NA
6,9,Stu,signature,NA
6,9,Ugnė,signature,NA
6,10,Ian,signature,NA
6,10,Tamal,signature,NA
6,10,Nadiya,signature,NA
6,10,Alvin,signature,NA
6,10,Dorret,signature,NA
6,10,Flora,signature,NA
6,10,Marie,signature,NA
6,10,Mat,signature,NA
6,10,Paul,signature,NA
6,10,Sandy,signature,NA
6,10,Stu,signature,NA
6,10,Ugnė,signature,NA
7,1,Andrew,signature,cake
7,1,Benjamina,signature,cake
7,1,Candice,signature,cake
7,1,Kate,signature,cake
7,1,Louise,signature,cake
7,1,Michael,signature,cake
7,1,Rav,signature,cake
7,1,Selasi,signature,cake
7,1,Tom,signature,cake
7,1,Val,signature,NA
7,1,Lee,signature,cake
7,1,Jane,signature,cake
7,2,Andrew,signature,NA
7,2,Benjamina,signature,NA
7,2,Jane,signature,NA
7,2,Kate,signature,NA
7,2,Michael,signature,NA
7,2,Rav,signature,NA
7,2,Selasi,signature,NA
7,2,Tom,signature,NA
7,2,Val,signature,NA
7,2,Louise,signature,NA
7,2,Candice,signature,NA
7,2,Lee,signature,NA
7,3,Andrew,signature,NA
7,3,Benjamina,signature,NA
7,3,Candice,signature,NA
7,3,Jane,signature,NA
7,3,Kate,signature,NA
7,3,Rav,signature,NA
7,3,Selasi,signature,NA
7,3,Val,signature,NA
7,3,Michael,signature,NA
7,3,Tom,signature,NA
7,3,Lee,signature,NA
7,3,Louise,signature,NA
7,4,Andrew,signature,NA
7,4,Candice,signature,NA
7,4,Jane,signature,NA
7,4,Rav,signature,NA
7,4,Selasi,signature,NA
7,4,Tom,signature,NA
7,4,Val,signature,NA
7,4,Kate,signature,NA
7,4,Benjamina,signature,NA
7,4,Lee,signature,NA
7,4,Louise,signature,NA
7,4,Michael,signature,NA
7,5,Andrew,signature,NA
7,5,Benjamina,signature,NA
7,5,Jane,signature,NA
7,5,Rav,signature,NA
7,5,Selasi,signature,NA
7,5,Tom,signature,NA
7,5,Val,signature,NA
7,5,Candice,signature,NA
7,5,Kate,signature,NA
7,5,Lee,signature,NA
7,5,Louise,signature,NA
7,5,Michael,signature,NA
7,6,Andrew,signature,pie_tart
7,6,Benjamina,signature,pie_tart
7,6,Candice,signature,pie_tart
7,6,Jane,signature,pie_tart
7,6,Selasi,signature,pie_tart
7,6,Rav,signature,pie_tart
7,6,Tom,signature,pie_tart
7,6,Kate,signature,NA
7,6,Lee,signature,NA
7,6,Louise,signature,NA
7,6,Michael,signature,NA
7,6,Val,signature,NA
7,7,Benjamina,signature,NA
7,7,Candice,signature,NA
7,7,Jane,signature,NA
7,7,Selasi,signature,NA
7,7,Tom,signature,NA
7,7,Andrew,signature,NA
7,7,Kate,signature,NA
7,7,Lee,signature,NA
7,7,Louise,signature,NA
7,7,Michael,signature,NA
7,7,Rav,signature,NA
7,7,Val,signature,NA
7,8,Andrew,signature,pie_tart
7,8,Jane,signature,pie_tart
7,8,Selasi,signature,NA
7,8,Benjamina,signature,NA
7,8,Candice,signature,pie_tart
7,8,Kate,signature,NA
7,8,Lee,signature,NA
7,8,Louise,signature,NA
7,8,Michael,signature,NA
7,8,Rav,signature,NA
7,8,Tom,signature,NA
7,8,Val,signature,NA
7,9,Candice,signature,NA
7,9,Jane,signature,NA
7,9,Selasi,signature,NA
7,9,Andrew,signature,NA
7,9,Benjamina,signature,NA
7,9,Kate,signature,NA
7,9,Lee,signature,NA
7,9,Louise,signature,NA
7,9,Michael,signature,NA
7,9,Rav,signature,NA
7,9,Tom,signature,NA
7,9,Val,signature,NA
7,10,Andrew,signature,NA
7,10,Jane,signature,NA
7,10,Candice,signature,NA
7,10,Benjamina,signature,NA
7,10,Kate,signature,NA
7,10,Lee,signature,NA
7,10,Louise,signature,NA
7,10,Michael,signature,NA
7,10,Rav,signature,NA
7,10,Selasi,signature,NA
7,10,Tom,signature,NA
7,10,Val,signature,NA
8,1,Chris,signature,cake
8,1,Flo,signature,cake
8,1,James,signature,cake
8,1,Julia,signature,cake
8,1,Kate,signature,cake
8,1,Liam,signature,NA
8,1,Sophie,signature,cake
8,1,Stacey,signature,cake
8,1,Tom,signature,cake
8,1,Yan,signature,cake
8,1,Peter,signature,cake
8,1,Steven,signature,cake
8,2,Flo,signature,NA
8,2,James,signature,NA
8,2,Julia,signature,NA
8,2,Kate,signature,NA
8,2,Liam,signature,NA
8,2,Sophie,signature,NA
8,2,Stacey,signature,NA
8,2,Tom,signature,NA
8,2,Yan,signature,NA
8,2,Chris,signature,NA
8,2,Steven,signature,NA
8,2,Peter,signature,NA
8,3,James,signature,cake
8,3,Kate,signature,NA
8,3,Liam,signature,cake
8,3,Sophie,signature,cake
8,3,Stacey,signature,cake
8,3,Steven,signature,cake
8,3,Tom,signature,cake
8,3,Yan,signature,cake
8,3,Flo,signature,cake
8,3,Julia,signature,cake
8,3,Chris,signature,NA
8,3,Peter,signature,NA
8,4,James,signature,NA
8,4,Julia,signature,NA
8,4,Liam,signature,NA
8,4,Sophie,signature,NA
8,4,Stacey,signature,NA
8,4,Steven,signature,NA
8,4,Yan,signature,NA
8,4,Tom,signature,NA
8,4,Kate,signature,NA
8,4,Chris,signature,NA
8,4,Flo,signature,NA
8,4,Peter,signature,NA
8,5,Julia,signature,NA
8,5,Kate,signature,NA
8,5,Liam,signature,NA
8,5,Stacey,signature,pie_tart
8,5,Steven,signature,NA
8,5,Yan,signature,NA
8,5,James,signature,NA
8,5,Sophie,signature,NA
8,5,Chris,signature,NA
8,5,Flo,signature,NA
8,5,Peter,signature,NA
8,5,Tom,signature,NA
8,6,Kate,signature,pie_tart
8,6,Sophie,signature,pie_tart
8,6,Stacey,signature,pie_tart
8,6,Steven,signature,pie_tart
8,6,Yan,signature,pie_tart
8,6,Julia,signature,pie_tart
8,6,Liam,signature,pie_tart
8,6,Chris,signature,NA
8,6,Flo,signature,NA
8,6,James,signature,NA
8,6,Peter,signature,NA
8,6,Tom,signature,NA
8,7,Kate,signature,NA
8,7,Liam,signature,NA
8,7,Sophie,signature,NA
8,7,Stacey,signature,NA
8,7,Yan,signature,NA
8,7,Steven,signature,NA
8,7,Chris,signature,NA
8,7,Flo,signature,NA
8,7,James,signature,NA
8,7,Julia,signature,NA
8,7,Peter,signature,NA
8,7,Tom,signature,NA
8,8,Kate,signature,NA
8,8,Sophie,signature,NA
8,8,Steven,signature,NA
8,8,Liam,signature,NA
8,8,Stacey,signature,NA
8,8,Chris,signature,NA
8,8,Flo,signature,NA
8,8,James,signature,NA
8,8,Julia,signature,NA
8,8,Peter,signature,NA
8,8,Tom,signature,NA
8,8,Yan,signature,NA
8,9,Kate,signature,NA
8,9,Steven,signature,cake
8,9,Stacey,signature,NA
8,9,Sophie,signature,NA
8,9,Chris,signature,NA
8,9,Flo,signature,NA
8,9,James,signature,NA
8,9,Julia,signature,NA
8,9,Liam,signature,NA
8,9,Peter,signature,NA
8,9,Tom,signature,NA
8,9,Yan,signature,NA
8,10,Kate,signature,NA
8,10,Steven,signature,NA
8,10,Sophie,signature,NA
8,10,Chris,signature,NA
8,10,Flo,signature,NA
8,10,James,signature,NA
8,10,Julia,signature,NA
8,10,Liam,signature,NA
8,10,Peter,signature,NA
8,10,Stacey,signature,NA
8,10,Tom,signature,NA
8,10,Yan,signature,NA
1,1,Annetha,showstopper,NA
1,1,David,showstopper,NA
1,1,Edd,showstopper,NA
1,1,Jasminder,showstopper,NA
1,1,Jonathan,showstopper,NA
1,1,Louise,showstopper,cake
1,1,Miranda,showstopper,cake
1,1,Ruth,showstopper,cake
1,1,Lea,showstopper,NA
1,1,Mark,showstopper,cake
1,2,David,showstopper,NA
1,2,Edd,showstopper,NA
1,2,Jasminder,showstopper,NA
1,2,Jonathan,showstopper,NA
1,2,Miranda,showstopper,NA
1,2,Ruth,showstopper,NA
1,2,Annetha,showstopper,NA
1,2,Louise,showstopper,NA
1,2,Lea,showstopper,NA
1,2,Mark,showstopper,NA
1,3,David,showstopper,NA
1,3,Edd,showstopper,NA
1,3,Jasminder,showstopper,NA
1,3,Miranda,showstopper,NA
1,3,Ruth,showstopper,NA
1,3,Jonathan,showstopper,NA
1,3,Annetha,showstopper,NA
1,3,Lea,showstopper,NA
1,3,Louise,showstopper,NA
1,3,Mark,showstopper,NA
1,4,Edd,showstopper,NA
1,4,Jasminder,showstopper,NA
1,4,Miranda,showstopper,NA
1,4,Ruth,showstopper,NA
1,4,David,showstopper,NA
1,4,Annetha,showstopper,NA
1,4,Jonathan,showstopper,NA
1,4,Lea,showstopper,NA
1,4,Louise,showstopper,NA
1,4,Mark,showstopper,NA
1,5,Edd,showstopper,pie_tart
1,5,Miranda,showstopper,cake
1,5,Ruth,showstopper,pie_tart
1,5,Jasminder,showstopper,pie_tart
1,5,Annetha,showstopper,NA
1,5,David,showstopper,NA
1,5,Jonathan,showstopper,NA
1,5,Lea,showstopper,NA
1,5,Louise,showstopper,NA
1,5,Mark,showstopper,NA
1,6,Ruth,showstopper,pie_tart
1,6,Miranda,showstopper,NA
1,6,Edd,showstopper,pie_tart
1,6,Annetha,showstopper,NA
