"Portland, Oregon Manual Bike Counts, 2000-2017",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,count time,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
city center,164,SW Burnside & 13th/Stark,4-6pm,80,90,107,132,81,108,87,92,96,-,-,-,-,-,-,-,-,-,-
city center,200,SW Broadway & 6th (S of I-405),4-6pm,169,151,217,190,211,317,225,281,205,218,-,-,-,-,-,-,-,-,-
city center,214,SW River Parkway & River Dr,4-6pm,40,40,53,250,234,174,-,-,-,-,149,-,-,-,-,-,-,-,-
city center,215,SW Naito & Morrison Bridge,7-9am,511,-,285,-,180,204,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,216,SW Stark & 4th,4-6pm,465,399,449,391,446,367,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,217,SW 5th & Jackson/Lincoln,4-6pm,66,60,92,64,53,77,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,218,SW Oak & 3rd,7-9am,339,308,331,257,269,237,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,255,SW Naito & Ankeny,4-6pm,639,447,455,375,367,337,-,-,-,168,-,-,-,-,-,-,-,-,-
city center,271,SW Columbia & 14th,7-9am,43,45,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,272,SW Salmon & 14th (am),7-9am,88,92,94,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,273,SW Jefferson & 12th,4-6pm,95,126,128,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,274,SW Lincoln & 1st,4-6pm,133,127,106,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,278,SW River Pkwy/Harrison & Harbor Path,4-6pm,445,446,469,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,279,NW Couch & 3rd,4-6pm,312,306,297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,281,W Burnside & 3rd,7-9am,227,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,282,SW Stark & 2nd,4-6pm,493,443,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,283,NW Couch & 2nd,4-6pm,245,272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,300,SW Naito & Salmon (NEW),4-6pm,829,,,,,,,,,,,,,,,,,,
city center,304,SW Alder & 18th (NEW),4-6pm,63,,,,,,,,,,,,,,,,,,
east,18,NE Marine Drive & PDX Trail,4-6pm,62,42,61,-,54,78,93,84,-,-,39,-,-,-,-,-,-,-,-
east,22,NE Halsey & 92nd,4-6pm,32,70,30,29,37,28,29,30,32,38,24,22,-,-,-,-,-,-,-
east,24,E Burnside & 122nd,4-6pm,95,98,138,70,108,80,113,80,73,-,85,90,-,-,-,-,-,-,-
east,27,NE Fremont & 122nd,4-6pm,28,14,13,21,28,29,31,28,35,30,15,-,-,-,-,-,-,-,-
east,28,NE Halsey & 122nd,4-6pm,54,40,39,49,-,76,67,60,39,67,-,-,-,-,-,-,-,-,-
east,29,NE Halsey & 148th,4-6pm,,22,22,10,23,23,29,19,20,31,-,-,-,-,-,-,-,-,-
east,46,SE Springwater & 122nd,4-6pm,120,132,129,125,139,138,163,-,105,85,81,-,-,-,-,-,-,-,-
east,47,SE Powell & 148th,4-6pm,32,23,-,32,27,-,-,32,38,41,36,-,-,-,-,-,-,-,-
east,57,SE Flavel & 92nd,4-6pm,101,129,-,132,166,147,146,126,77,82,53,111,-,-,-,-,-,-,73
east,58,SE Flavel & Deardorf,4-6pm,,1,0,-,6,-,-,-,8,-,-,-,-,-,-,-,-,-,-
east,60,SE Springwater & I-205 Path,4-6pm,188,188,198,276,198,275,241,193,-,75,-,-,-,-,-,-,-,-,-
east,63,SE Mill & 135th,4-6pm,26,25,23,26,29,46,54,-,39,26,-,-,-,-,-,-,-,-,-
east,133,NE Airport Wy & I-205 path,4-6pm,59,-,95,-,69,91,117,71,102,89,-,-,-,-,-,-,-,-,-
east,135,NE Maywood Place & I-205 Path,4-6pm,53,62,59,54,58,59,56,30,52,41,-,-,-,-,-,-,-,-,-
east,136,E Burnside & I-205 path,4-6pm,142,-,131,166,86,150,-,116,93,90,-,-,-,-,-,-,-,-,-
east,140,SE Division & 96th Dr,4-6pm,25,33,36,41,31,39,39,32,34,43,-,-,-,-,-,-,-,-,-
east,141,SE Division & 122nd,4-6pm,,51,58,66,100,74,-,72,37,55,-,-,-,-,-,-,-,-,-
east,142,SE Powell & 122nd,4-6pm,40,30,48,-,57,69,47,54,43,65,-,-,-,-,-,-,-,-,-
east,143,SE Powell & 162nd,4-6pm,,20,-,21,27,24,-,16,43,32,-,-,-,-,-,-,-,-,-
east,150,SE Holgate & 112th,4-6pm,28,33,31,41,43,42,30,33,44,-,-,-,-,-,-,-,-,-,-
east,151,SE Market & 130th,4-6pm,24,32,-,-,34,58,41,72,50,-,-,-,-,-,-,-,-,-,-
east,152,SE Main & 96th (East side),4-6pm,25,32,-,-,69,42,-,45,-,-,-,-,-,-,-,-,-,-,-
east,171,SE Holgate & 100th,4-6pm,40,20,40,50,47,58,35,31,-,-,-,-,-,-,-,-,-,-,-
east,172,SE Bush & 122nd,4-6pm,35,40,36,41,46,44,47,41,-,-,-,-,-,-,-,-,-,-,-
east,209,NE Prescott & I-205,4-6pm,29,49,37,-,48,45,14,-,-,-,-,-,-,-,-,-,-,-,-
east,210,NE 102 & Pacific,4-6pm,,-,29,51,59,50,37,-,-,-,-,-,-,-,-,-,-,-,-
east,211,SE Steele I-205 Overpass (including trail),4-6pm,81,117,105,130,124,101,-,-,-,-,-,-,-,-,-,-,-,-,-
east,219,SE Springwater & 92nd,4-6pm,140,194,138,151,171,210,-,-,-,-,98,-,-,-,-,-,-,-,-
east,220,SE Springwater Trail & SE 101st,4-6pm,120,128,149,137,129,161,-,-,-,-,-,-,-,-,-,-,-,-,-
east,221,SE Bush & 102nd,4-6pm,4,17,10,19,10,9,-,-,-,-,-,-,-,-,-,-,-,-,-
east,222,SE Mill & 148th,4-6pm,30,33,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,223,SE Main & 162nd,4-6pm,29,15,30,22,36,25,-,-,-,-,-,-,-,-,-,-,-,-,-
east,260,NE Halsey & 128th,4-6pm,6,10,11,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,285,SE Holgate & 128th,4-6pm,16,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,286,NE Halsey & 106th,4-6pm,29,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,297,NE Tillamook & 108th,4-6pm,21,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,298,NE Glisan & 108th,4-6pm,30,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,299,NE Holladay & 122nd (NEW),4-6pm,23,,,,,,,,,,,,,,,,,,
east,306,NE Fremont & 102nd (NEW),4-6pm,20,,,,,,,,,,,,,,,,,,
east,307,NE Weidler & 106th (NEW),7-9am,,,,,,,,,,,,,,,,,,,
east,308,NE San Rafael & 132nd (NEW),4-6pm,9,,,,,,,,,,,,,,,,,,
east,309,NE Holladay & 114th (NEW),4-6pm,2,,,,,,,,,,,,,,,,,,
northeast,19,NE Going & 37th,4-6pm,200,166,201,-,204,172,147,72,46,54,-,-,-,-,-,-,-,-,-
northeast,20,NE Multnomah & 47th,4-6pm,82,111,112,97,112,112,107,58,109,101,80,57,-,-,43,-,34,38,39
northeast,21,NE Siskiyou & 72nd,4-6pm,23,27,48,28,26,-,-,33,37,32,-,-,-,-,-,-,-,-,
northeast,23,NE Broadway & 7th,7-9am,334,301,377,368,352,306,254,240,312,353,305,241,-,-,-,-,-,-,73
northeast,25,E Burnside & 74th,4-6pm,102,108,119,125,-,150,149,106,91,100,81,88,73,-,-,-,-,-,-
northeast,26,NE Everett & 53rd,4-6pm,296,293,245,244,224,218,244,201,-,169,153,119,80,-,-,-,-,-,-
northeast,30,NE Irving & 12th,4-6pm,,381,364,346,333,373,334,342,327,331,272,170,-,-,-,-,108,95,101
northeast,31,NE Irving & 20th,4-6pm,207,219,253,252,233,264,267,220,208,-,202,178,-,-,-,-,-,55,75
northeast,32,NE Multnomah & 7th,4-6pm,334,335,337,264,265,231,201,-,236,255,-,172,-,-,-,-,83,93,76
northeast,33,NE Killingsworth & Portland Hwy,4-6pm,16,17,21,38,26,40,-,-,-,24,23,-,-,-,-,-,-,-,-
northeast,34,NE Skidmore & 29th,4-6pm,52,47,58,50,53,65,-,-,-,-,48,-,-,-,-,-,-,-,-
northeast,35,NE Grant Pl & 33rd,4-6pm,297,279,271,227,241,235,223,219,150,233,136,142,-,-,-,-,-,-,-
northeast,36,NE Weidler & 7th,4-6pm,322,328,303,-,296,343,-,170,-,-,266,241,-,131,-,-,140,145,149
northeast,37,NE Weidler & MLK,4-6pm,111,116,127,-,124,103,108,100,170,205,131,101,-,-,-,-,148,-,131
northeast,95,NE Couch & 41st,4-6pm,237,294,251,279,210,255,204,105,-,-,114,-,-,-,-,-,-,-,-
northeast,98,NE Skidmore & 9th,4-6pm,,83,62,65,64,73,-,107,92,139,91,-,-,-,-,-,-,-,-
northeast,106,NE Irving & 21st,4-6pm,120,121,116,115,97,102,93,91,92,-,87,-,-,-,-,-,-,-,-
northeast,107,NE Davis & 41st,4-6pm,274,283,263,269,220,214,-,190,183,175,123,-,-,-,-,-,-,-,-
northeast,128,NE Multnomah & Wheeler,4-6pm,760,808,652,634,644,554,557,563,346,238,-,-,-,-,-,-,-,-,-
northeast,129,NE Going & 9th,4-6pm,417,419,382,398,367,344,317,208,98,103,-,-,-,-,-,-,-,-,-
northeast,130,NE Tillamook & 28th,4-6pm,274,332,318,298,329,337,288,285,298,-,-,-,-,-,-,-,-,-,-
northeast,131,NE Prescott & Cully,4-6pm,78,67,87,63,45,96,58,-,36,72,-,-,-,-,-,-,-,-,-
northeast,132,NE Tillamook & 74th,4-6pm,,113,86,101,85,106,91,70,48,64,-,-,-,-,-,-,-,-,-
northeast,153,NE Glisan & 28th,4-6pm,200,213,238,266,256,267,262,277,-,-,-,-,-,-,-,-,-,-,-
northeast,168,NE Holman & 27th,4-6pm,71,114,86,103,104,84,-,56,-,-,-,-,-,-,-,-,-,-,-
northeast,169,NE Klickitat & 27th,4-6pm,63,120,82,90,94,102,94,-,-,-,-,-,-,-,-,-,-,-,-
northeast,201,NE Alberta & 72nd,4-6pm,31,24,28,23,27,26,31,14,-,-,-,-,-,-,-,-,-,-,-
northeast,203,NE Morris & 7th,4-6pm,202,236,-,176,151,176,151,-,-,-,-,-,-,-,-,-,-,-,-
northeast,208,NE Alberta & Cully,4-6pm,,55,53,69,46,37,50,-,-,-,-,-,-,-,-,-,-,-,-
northeast,213,NE Holladay & 7th,4-6pm,173,187,196,181,-,228,167,-,-,-,-,-,-,-,-,-,-,-,-
northeast,224,E Burnside & NE 86th,4-6pm,83,74,96,111,71,116,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,225,NE Klickitat & 38th,4-6pm,186,192,200,191,195,138,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,226,NE Klickitat & 57th,4-6pm,94,92,69,129,94,101,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,227,NE Hancock & 47th,4-6pm,147,169,182,165,145,136,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,228,NE Couch & 6th,7-9am,373,343,372,355,321,260,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,229,NE Holman & Grand,4-6pm,48,54,52,54,42,35,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,230,NE Marine Dr Trail & 33rd,4-6pm,63,44,55,-,53,70,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,254,NE Killingsworth & Cully,4-6pm,39,29,-,44,32,53,39,28,-,-,-,-,-,-,-,-,-,-,-
northeast,259,NE Multnomah & 21st,4-6pm,342,328,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,261,NE Alderwood & 82nd,4-6pm,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,262,NE Multnomah & 11th,4-6pm,254,163,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,263,NE Rodney & Morris,4-6pm,166,171,126,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,275,NE Tillamook & 7th,4-6pm,423,410,429,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,277,NE Alameda & 57th,4-6pm,116,93,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,280,NE Halsey & 42nd,4-6pm,78,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,290,NE Glisan & 30th,4-6pm,155,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,291,NE Tillamook & 26th,4-6pm,273,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,292,NE Klickitat & 26th Ave,4-6pm,95,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,293,NE Skidmore & 32nd Ave,4-6pm,61,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,295,NE Rodney & Bryant,4-6pm,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,48,SE Gladstone & 26th,4-6pm,228,216,165,185,187,165,147,130,153,129,113,84,-,-,-,-,-,-,70
southeast,49,SE Salmon & 7th,4-6pm,406,394,439,383,377,335,359,267,352,377,284,202,-,-,-,-,94,-,24
southeast,50,SE Ankeny & 6th,4-6pm,220,222,260,225,196,184,198,253,291,-,194,171,-,136,-,-,-,145,150
southeast,51,SE Belmont & 16th,4-6pm,159,172,172,156,134,166,162,144,122,145,91,85,-,-,75,-,48,-,-
southeast,52,SE Milwaukie & Bybee,4-6pm,64,74,65,92,94,101,63,91,75,107,81,-,-,-,-,-,-,-,-
southeast,53,SE Center & 72nd,4-6pm,70,76,-,69,54,43,97,44,70,62,66,-,-,-,-,-,-,-,-
southeast,54,SE Center & 9th,4-6pm,14,20,20,35,36,33,-,23,-,19,10,-,-,-,-,-,-,-,-
southeast,55,SE Clinton & 26th,4-6pm,757,677,651,641,619,636,531,550,469,542,354,303,-,250,-,-,119,130,-
southeast,59,SE Gladstone & 42nd,4-6pm,149,147,157,199,142,138,,179,181,143,98,86,-,-,-,-,-,-,58
southeast,61,SE Harrison & Ladd (Circle)**,4-6pm,635,672,718,762,851,691,720,787,791,795,351,370,371,-,-,-,180,-,252
southeast,62,SE Lincoln & 41st,4-6pm,371,427,429,375,342,406,376,359,393,385,205,203,-,-,145,-,115,-,-
southeast,64,SE Milwaukie & Powell,4-6pm,85,78,67,123,103,-,-,120,156,148,100,-,-,-,-,-,-,-,-
southeast,65,SE Spokane & Springwater,4-6pm,540,522,512,497,537,583,400,416,210,572,377,282,-,-,-,-,-,-,-
southeast,66,SE Taylor & 41st,4-6pm,175,229,213,182,273,241,241,237,249,190,191,140,-,-,-,-,65,-,-
southeast,67,SE Woodstock & 46th,4-6pm,126,116,88,113,146,90,-,120,116,132,127,-,-,-,-,-,-,-,-
southeast,68,SE Woodward & 71st,4-6pm,109,94,147,69,78,90,118,151,110,98,-,-,-,-,-,-,-,-,-
southeast,69,SE Springwater & Johson Creek,4-6pm,189,215,260,252,225,202,235,146,155,155,204,-,-,-,-,-,-,-,-
southeast,70,Springwater & Oaks Bottom Path,4-6pm,577,605,560,576,572,577,590,549,554,529,500,-,-,-,-,-,-,-,-
southeast,99,SE Duke & 72nd,4-6pm,46,35,37,62,35,52,55,-,-,-,-,-,-,-,-,-,-,-,-
southeast,100,SE Ankeny & 28th,4-6pm,500,501,480,543,511,450,563,556,482,521,341,-,-,-,-,-,-,-,-
southeast,101,SE Salmon & 34th,4-6pm,338,375,374,391,372,407,426,456,423,480,293,-,-,-,-,-,-,-,-
southeast,108,SE Clay & Water,4-6pm,275,196,322,643,583,379,-,153,131,-,-,-,-,-,-,-,-,-,-
southeast,109,SE Clay & 7th,4-6pm,211,219,192,221,181,236,215,219,181,205,-,-,-,-,-,-,-,-,-
southeast,110,SE Clay & 12th,4-6pm,186,190,196,257,269,242,294,268,220,247,193,-,-,-,-,-,-,-,-
southeast,138,SE Milwaukie & Mitchell,4-6pm,140,97,129,136,155,-,151,178,127,153,-,-,-,-,-,-,-,-,-
southeast,149,SE Center & 52nd,4-6pm,132,149,131,66,83,90,-,56,71,-,-,-,-,-,-,-,-,-,-
southeast,160,SE Clinton & 13th,4-6pm,598,496,335,198,73,204,206,171,139,-,-,-,-,-,-,-,-,-,-
southeast,170,SE Mill & 87th,4-6pm,45,56,57,51,57,42,41,83,-,-,-,-,-,-,-,-,-,-,-
southeast,173,SE Umatilla & 19th,4-6pm,160,164,212,159,217,262,183,174,-,-,-,-,-,-,-,-,-,-,-
southeast,174,SE Spokane & 15th,4-6pm,73,74,113,-,103,135,110,52,-,-,-,-,-,-,-,-,-,-,-
southeast,212,SE Woodstock & 52nd,4-6pm,123,142,128,121,88,119,90,-,-,-,-,-,-,-,-,-,-,-,-
southeast,241,Springwater Corridor (S of Ivon),4-6pm,573,576,619,600,596,564,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,242,E Burnside & SE 6th,4-6pm,419,430,442,433,377,388,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,243,E Burnside & SE 12th,4-6pm,150,291,329,316,335,327,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,244,SE Clinton & 34th,4-6pm,610,524,502,474,463,509,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,245,SE Ladd & 20th/21st,4-6pm,372,452,466,542,605,571,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,246,SE Salmon & 28th,4-6pm,210,229,214,234,229,232,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,247,SE Taylor & 53rd,4-6pm,80,88,87,51,49,43,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,248,SE Flavel & 52nd,4-6pm,40,36,48,40,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,249,SE Flavel & 87th,4-6pm,32,38,32,58,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,250,SE Woodstock & 87th,4-6pm,29,32,22,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,251,SE Brooklyn & 85th,4-6pm,13,26,13,27,32,15,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,252,SE Lincoln & 52nd,4-6pm,258,284,307,225,221,241,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,253,SE Caruthers & Eastbank Esplanade,4-6pm,655,632,552,422,-,588,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,256,SE Caruthers & Water,4-6pm,1108,1235,866,719,694,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,257,SE Division & 60th,4-6pm,73,114,84,80,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,265,SE Holgate & 17th,4-6pm,159,151,124,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,266,SE Division & 76th,4-6pm,94,90,106,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,267,SE Stark & 76th,4-6pm,26,41,31,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,268,SE Bybee & 19th,4-6pm,80,102,74,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,269,SE Woodstock & 28th,4-6pm,71,104,99,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,270,SE Foster & 67th,4-6pm,60,88,83,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,276,SE Powell over-crossing @ 17th Ave,4-6pm,244,255,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,288,SE Salmon & 29th,4-6pm,271,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,289,SE Ankeny & 30th,4-6pm,373,303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,294,SE Franklin & 26th Ave,4-6pm,96,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,301,SE Lafayette & 21st (NEW),4-6pm,183,,,,,,,,,,,,,,,,,,
southeast,302,SE Odgen & 67th (NEW),4-6pm,7,,,,,,,,,,,,,,,,,,
southeast,310,SE MLK & Morrison (NEW),7-9am,3,,,,,,,,,,,,,,,,,,
north,6,N Fessenden & Peninsula Crossing,4-6pm,40,36,37,89,49,70,-,-,73,56,55,-,-,-,-,-,-,-,-
north,7,N Interstate & Greeley,4-6pm,265,280,296,261,223,259,248,255,237,268,192,202,-,-,78,-,-,-,51
north,8,N Interstate & Larrabee,4-6pm,296,280,345,308,322,325,321,221,246,341,259,249,-,-,-,-,-,-,-
north,9,N Portsmouth & Houghton,4-6pm,26,38,46,-,24,37,-,-,43,52,43,-,-,-,-,-,-,-,-
north,10,N Denver & Rosa Parks,4-6pm,165,243,200,198,220,150,123,-,160,148,103,90,-,-,-,-,27,-,-
north,11,N Vancouver & Russell,7-9am,1050,"1,177","1,028","1,140",948,"1,032",875,-,645,720,465,380,-,-,215,-,190,170,106
north,12,N Williams & Russell,4-6pm,1001,985,942,"1,069",921,797,799,619,535,549,421,177,-,176,-,-,112,122,59
north,13,N Smith & St. Louis,4-6pm,21,11,31,-,23,29,-,25,-,31,20,-,-,-,-,-,-,-,-
north,14,N Flint & Tillamook,4-6pm,119,135,134,159,143,-,178,-,137,164,118,107,-,-,-,-,183,167,80
north,15,N Vancouver & Ainsworth,7-9am,274,264,272,252,282,232,212,198,-,240,123,116,-,82,-,-,53,44,-
north,16,N Willamette & Philadelphia,4-6pm,35,38,35,-,28,38,52,56,-,-,30,-,-,-,-,-,-,-,-
north,17,N Willamette & Waud Bluff Trail,4-6pm,177,165,213,177,162,178,175,-,153,122,-,-,-,-,-,-,-,-,-
north,97,N Interstate/Lloyd/Oregon,4-6pm,1124,"1,159",964,"1,011","1,028",957,821,902,-,705,-,-,-,-,-,-,-,-,-
north,102,N Going & Greeley,4-6pm,116,149,153,148,136,173,117,119,-,104,92,-,-,-,-,-,-,-,-
north,103,N Port Center Wy & Cement Rd,4-6pm,,-,-,-,3,3,9,4,7,6,9,-,-,-,-,-,-,-,-
north,124,N Willis & Woolsey,4-6pm,37,55,40,39,31,51,-,-,-,31,-,-,-,-,-,-,-,-,-
north,125,N Bryant & Missouri,4-6pm,49,56,45,40,73,53,50,-,-,38,-,-,-,-,-,-,-,-,-
north,126,N Union Path & I-5,4-6pm,,100,-,-,96,92,87,85,90,87,-,-,-,-,-,-,-,-,-
north,127,N Failing & Missouri,4-6pm,55,29,41,41,37,42,59,42,35,40,-,-,-,-,-,-,-,-,-
north,154,N Concord & Willamette,4-6pm,120,140,109,115,-,-,125,88,-,-,-,-,-,-,-,-,-,-,-
north,155,N Bryant & Wabash,4-6pm,47,69,44,65,57,43,47,25,39,-,-,-,-,-,-,-,-,-,-
north,165,N Central & N Burr,4-6pm,21,33,36,30,28,30,30,22,-,-,-,-,-,-,-,-,-,-,-
north,166,N Wabash & N Halleck,4-6pm,36,34,34,-,25,22,17,25,-,-,-,-,-,-,-,-,-,-,-
north,167,N Bryant & Concord,4-6pm,47,44,37,40,54,34,-,40,-,-,-,-,-,-,-,-,-,-,-
north,202,N Chautauqua & Willis,4-6pm,22,31,7,25,24,26,-,25,-,-,-,-,-,-,-,-,-,-,-
north,204,N Skidmore & Michigan,4-6pm,156,119,132,134,143,147,166,-,-,-,-,-,-,-,-,-,-,-,-
north,205,N Michigan & Rosa Parks,4-6pm,137,149,157,146,134,110,95,-,-,-,-,-,-,-,-,-,-,-,-
north,231,N Going & Vancouver,7-9am,687,732,696,586,725,645,-,-,-,-,-,-,-,-,-,-,-,-,-
north,232,N Going & Williams,4-6pm,767,741,756,720,770,574,-,-,-,-,-,-,-,-,-,-,-,-,-
north,233,N Denver & Terry,4-6pm,69,85,120,72,76,71,-,-,-,-,-,-,-,-,-,-,-,-,-
north,234,N Willamette Blvd & Carey (to Trail),4-6pm,152,166,171,-,139,187,-,-,-,-,-,-,-,-,-,-,-,-,-
north,258,N Going & Concord,3-5pm,108,65,42,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
north,287,N Lombard & Bruce (NEW),4-6pm,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,38,NW Thurman & 14th,4-6pm,112,70,99,102,87,86,73,83,97,113,83,-,-,-,-,-,-,-,-
northwest,39,NW Bridge Ave & St. Johns Bridge,4-6pm,28,-,26,-,39,36,37,-,47,-,22,-,-,-,-,-,-,-,-
